,brand,model,price,province,matriculation,fuel,kilometres,gear
1187,BMW,X1 sDrive 18dA Business,32600,Valencia,2019, Diésel,16530,Automático
1188,OPEL,Insignia ST 1.6CDTI S&S Select,16995,Madrid,2018, Diésel,47000,Manual
1189,VOLKSWAGEN,Golf BERLINA CON PORTON 1.0 TSI 85KW BUSINESS 115 5P,17400,Murcia,2019, Gasolina,39015,Manual
1190,ALFA,ROMEO Stelvio 2.2 Sprint + Q4 190 Aut.,43900,Lugo,2021, Diésel,10,Automático
1191,JAGUAR,XE 2.0i4D S RWD Aut. 180,39900,Valencia,2020, Diésel,5700,Automático
1192,JAGUAR,E-Pace 2.0D I4 R-Dynamic S AWD Aut. 150,36900,Barcelona,2019, Diésel,58245,Automático
1193,SEAT,León 2.0TDI CR S&S FR 150,15900,Jaén,2016, Diésel,123146,Manual
1194,TOYOTA,Aygo 1.0 70 x-play,10240,Murcia,2019, Gasolina,24598,Manual
1195,LEXUS,RX 450h Executive,66490,Soria,2020, Híbrido,12363,Automático
1196,VOLKSWAGEN,Golf 1.5 eTSI R-Line DSG 110kW,33900,Barcelona,2020, Gasolina,7000,Automático
1197,MERCEDES-BENZ,EQC 400 4MATIC,74000,Asturias,2020, Eléctrico,9891,Automático
1198,MERCEDES-BENZ,Clase C Estate 250d (4.75) 7G Plus,30900,Navarra,2018, Diésel,95000,Automático
1199,TOYOTA,C-HR 125H Dynamic Plus,21990,Córdoba,2017, Híbrido,67802,Automático
1200,RENAULT,Scénic Grand dCi Zen Blue 110kW,24800,Soria,2021, Diésel,18043,Manual
1201,MERCEDES-BENZ,Clase A 180 BE Edition,16499,Navarra,2014, Gasolina,149000,Manual
1202,VOLKSWAGEN,Golf BERLINA CON PORTON (+) 1.6 TDI 85KW ADVANCE 115 5P,19500,Murcia,2019, Diésel,54276,Manual
1203,HYUNDAI,ix20 1.4CRDI BD Klass 90,11600,Vizcaya,2015, Diésel,115000,Manual
1204,MERCEDES-BENZ,Clase GLA 180,25900,Barcelona,2017, Gasolina,71509,Automático
1205,MERCEDES-BENZ,Clase CLA Shooting Brake 200d 7G-DCT,23990,Pontevedra,2017, Diésel,86570,Automático
1206,RENAULT,Clio 1.5dCi Energy Business 66kW,10990,Pontevedra,2018, Diésel,96938,Manual
1207,NISSAN,Juke 1.0 DIG-T Acenta 4x2 114,21300,Albacete,2021, Gasolina,14,Manual
1208,LAND-ROVER,Discovery Sport 2.0 TD4 110KW 4WD SE 5P,32900,Madrid,2017, Diésel,51436,Manual
1209,VOLKSWAGEN,Golf 2.0 TSI GTI Performance DSG7 180kW,32490,Vizcaya,2019, Gasolina,37000,Automático
1210,VOLVO,XC60 D3 Kinetic 150,15920,Madrid,2017, Diésel,171286,Manual
1211,TOYOTA,RAV-4 2.5 hybrid 2WD Advance,22310,Madrid,2018, Híbrido,79184,Automático
1212,MAZDA,CX-5 2.0 Zenith 2WD 165,24995,Madrid,2019, Gasolina,50000,Manual
1213,NISSAN,Juke G E6D-Temp 83 kW (112 CV) 5M/T ACENTA,12650,Madrid,2018, Gasolina,47935,Manual
